Date,Close,Open,High,Low,Volume,RSI,MACD,MACD_Signal,BB_Upper,BB_Lower
2025-03-13,1247.4,1249.1,1264.0,1230.0,1280244.0,22.571894548496957,-319.2157317042461,-367.90323052578435,1942.0572359847415,720.3477640152582
2025-03-21,1276.45,1247.0,1284.5,1233.25,3432782.0,25.466102197569057,-298.7934945310617,-354.08128332683987,1325.5010373347723,1199.0039626652278
2025-03-28,1275.0,1286.4,1307.0,1269.0,3651735.0,25.415036608909475,-279.50378170841213,-339.16578300315433,1314.2354699796508,1204.509530020349
2025-04-11,1219.3,1125.0,1222.45,1115.55,3508830.0,23.468249598370335,-265.6488354033918,-324.4623934832018,1312.4219816533657,1199.8530183466344
2025-04-17,1274.55,1256.0,1279.45,1227.4,1473064.0,29.25685362534702,-247.35907592904937,-309.04172997237134,1313.123970552814,1199.836029447186
2025-04-25,1300.05,1271.55,1325.25,1266.75,3734845.0,31.82004758632469,-228.1763974129226,-292.8686634604816,1317.8393720106753,1198.5306279893246
2025-05-02,1421.95,1332.35,1426.0,1320.15,14806779.0,42.53829580121799,-200.82271598390116,-274.45947396516556,1356.9634051375576,1172.3565948624425
2025-05-09,1377.75,1427.0,1439.75,1372.05,1964695.0,40.07805828843068,-180.62911696134688,-255.69340256440185,1370.8645370528086,1165.0504629471914
2025-05-16,1456.6,1400.0,1461.0,1400.0,2923576.0,46.070296796097175,-156.459441180584,-235.84661028763827,1408.8979776745273,1145.342022325473
2025-05-23,1426.45,1454.3,1454.3,1397.4,2503629.0,44.24820935059815,-138.14520014231584,-216.3063282585738,1430.7178564785593,1145.567143521441
2025-05-30,1420.8,1430.4,1441.2,1408.95,2431651.0,43.89783114508434,-122.67284377168039,-197.57963136119514,1448.2848188476705,1147.9851811523295
2025-06-06,1443.55,1415.95,1454.5,1395.9,3997916.0,45.760247262498304,-107.33783130156212,-179.53127134926854,1468.887473916681,1146.6025260833187
2025-06-13,1427.65,1454.55,1468.0,1414.0,2186373.0,44.64475159468508,-95.36837331156585,-162.69869174172803,1483.2738764133337,1150.7461235866663
